perturbagen	down-imputed	down-measured	up-imputed	up-measured
3486	5	11	3	6
3487	6	21	10	11
3488	1	16	3	6
3489	6	12	3	5
3490	3	15	4	8
3508	14	17	6	10
3516	24	44	13	19
3551	128	78	84	37
3553	17	25	15	13
3554	2	20	1	8
3556	28	35	30	27
3558	19	30	6	12
3559	14	23	6	13
3560	90	81	92	71
3565	4	16	2	5
3566	88	91	104	75
3567	4	9	3	9
3569	6	14	4	3
3570	2	12	2	2
3572	24	45	16	19
3575	0	5	1	4
3576	1	1	1	0
3579	6	1	3	6
3586	5	6	3	3
3588	10	25	2	8
3589	2	12	0	5
3590	4	31	1	8
3592	7	22	1	3
3593	2	9	1	2
3596	10	40	8	17
3597	0	17	0	6
3598	2	24	6	2
3600	13	41	13	31
3601	14	14	2	19
3604	3	2	1	3
3606	0	8	1	2
3608	25	44	11	21
3609	11	22	3	6
3611	53	29	19	18
3612	26	31	26	29
3613	20	28	5	6
3614	2	5	1	2
3615	4	9	0	2
3621	3	3	1	0
3622	4	10	2	5
3628	11	25	5	9
3630	2	2	0	1
3635	9	53	4	19
3636	20	21	13	22
3638	9	33	14	13
3643	10	23	3	14
3645	0	2	2	0
3651	4	20	1	11
3654	3	12	2	4
3656	7	18	5	16
3659	7	15	2	1
3660	7	13	5	9
3661	5	6	1	2
3662	4	28	9	13
3663	6	15	5	6
3664	7	15	3	5
3665	4	12	6	2
3667	25	49	13	34
3669	8	34	13	10
3670	62	72	48	56
3672	2	12	0	8
3673	120	89	41	73
3675	7	21	9	6
3676	5	6	4	3
3682	0	7	2	1
3685	43	57	21	42
3688	2	8	1	4
3689	5	5	1	4
3690	9	23	6	11
3691	4	9	2	5
3692	6	7	8	1
3693	10	18	3	9
3705	2	26	4	7
3706	8	32	4	7
3707	1	8	1	1
3708	33	62	8	43
3709	12	27	8	10
3710	0	8	2	2
3716	40	50	15	39
3717	2	9	2	9
3718	1	16	0	2
3725	360	190	640	191
3726	14	22	18	18
3735	5	29	4	15
3737	3	10	3	0
3755	30	61	24	23
3767	9	27	5	8
3775	22	36	10	64
3776	18	41	18	18
3778	1	8	1	1
3783	5	19	7	14
3784	15	28	10	7
3791	47	77	39	48
3795	0	5	1	2
3799	10	16	7	8
3800	3	9	4	1
3815	23	49	13	18
3821	2	21	3	8
3827	26	38	8	25
3832	302	165	151	156
3845	546	222	454	234
3856	6	33	5	8
3880	29	48	18	26
3895	58	61	81	32
3897	0	17	2	7
3909	2	16	0	4
3912	3	19	4	7
3920	2	10	4	7
3925	224	133	116	128
3927	26	39	20	15
3930	4	10	2	3
3932	22	40	14	24
3934	0	4	0	0
3939	16	19	10	15
3945	9	25	1	4
3949	2	8	0	3
3956	14	31	12	15
3957	3	13	2	5
3958	9	43	6	8
3964	1	9	6	2
3976	3	12	1	4
3978	47	54	15	34
3980	8	22	4	10
3984	1	5	0	4
3985	31	51	7	4
3988	12	16	4	5
3992	77	88	34	86
3995	4	6	0	4
3998	3	8	1	3
4000	7	25	9	12
4012	2	15	7	13
4016	88	57	111	56
4023	3	13	0	4
4038	4	24	3	11
4040	0	4	2	1
4041	1	5	0	5
4043	23	4	0	2
4046	18	15	0	5
4047	2	10	2	1
4048	9	26	5	10
4050	1	12	0	3
4055	7	25	2	10
4058	0	5	1	2
4067	38	63	36	35
4069	1	12	3	6
